Table ID: Pods List
  POD                               SERVICE          START TIME                     CONTAINERS  STATUS                                                     
  default/loadgen-6c46fcc4bf-rhncg  default/loadgen  2023-02-25 17:39:27 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-r769g  default/loadgen  2023-02-25 17:39:27 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-jsg2w  default/loadgen  2023-02-25 17:39:27 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-fnmlk  default/loadgen  2023-02-25 17:39:27 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-627td  default/loadgen  2023-02-19 22:14:00 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-7t4zc  default/loadgen  2023-02-25 17:39:27 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-6n7ld  default/loadgen  2023-02-25 17:39:28 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-pw56s  default/loadgen  2023-02-25 17:39:27 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/hello-68ff47f84b-88vt9    default/hello    2023-02-19 22:14:00 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-bfv9z  default/loadgen  2023-02-25 17:39:28 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
  default/loadgen-6c46fcc4bf-mqvzs  default/loadgen  2023-02-25 17:39:27 +0000 UTC  1           {"phase":"Running","message":"","reason":"","ready":true}  
Table ID: Inbound HTTP Traffic to Pods
  RESPONDER                       REQUESTING IP  REQUESTING POD                    REQUESTING SVC   LATENCY                                                                                     ERROR RATE  REQUEST THROUGHPUT  
  default/hello-68ff47f84b-88vt9  10.32.1.139    default/loadgen-6c46fcc4bf-6n7ld  default/loadgen  p01: 97.9 µs, p10: 135 µs, p25: 173 µs, p50: 284 µs, p75: 525 µs, p90: 804 µs, p99: 2.0 ms  0.00 %      9.296774 /sec       
  default/hello-68ff47f84b-88vt9  10.32.1.29     default/loadgen-6c46fcc4bf-627td  default/loadgen  p01: 97.9 µs, p10: 133 µs, p25: 172 µs, p50: 289 µs, p75: 510 µs, p90: 779 µs, p99: 1.6 ms  0.00 %      9.296774 /sec       
  default/hello-68ff47f84b-88vt9  10.32.0.142    default/loadgen-6c46fcc4bf-7t4zc  default/loadgen  p01: 79.7 µs, p10: 110 µs, p25: 140 µs, p50: 214 µs, p75: 368 µs, p90: 568 µs, p99: 1.4 ms  0.00 %      9.209677 /sec       
  default/hello-68ff47f84b-88vt9  10.32.0.140    default/loadgen-6c46fcc4bf-rhncg  default/loadgen  p01: 79.4 µs, p10: 111 µs, p25: 137 µs, p50: 208 µs, p75: 354 µs, p90: 555 µs, p99: 1.3 ms  0.00 %      9.209677 /sec       
  default/hello-68ff47f84b-88vt9  10.32.1.137    default/loadgen-6c46fcc4bf-jsg2w  default/loadgen  p01: 104 µs, p10: 138 µs, p25: 177 µs, p50: 298 µs, p75: 501 µs, p90: 758 µs, p99: 1.5 ms   0.00 %      9.300000 /sec       
  default/hello-68ff47f84b-88vt9  10.32.1.136    default/loadgen-6c46fcc4bf-mqvzs  default/loadgen  p01: 102 µs, p10: 135 µs, p25: 175 µs, p50: 295 µs, p75: 524 µs, p90: 798 µs, p99: 1.6 ms   0.00 %      9.296774 /sec       
  default/hello-68ff47f84b-88vt9  10.32.1.138    default/loadgen-6c46fcc4bf-r769g  default/loadgen  p01: 100 µs, p10: 135 µs, p25: 178 µs, p50: 300 µs, p75: 509 µs, p90: 789 µs, p99: 1.9 ms   0.00 %      9.293548 /sec       
  default/hello-68ff47f84b-88vt9  10.32.0.143    default/loadgen-6c46fcc4bf-pw56s  default/loadgen  p01: 83.6 µs, p10: 114 µs, p25: 139 µs, p50: 208 µs, p75: 353 µs, p90: 565 µs, p99: 1.3 ms  0.00 %      9.212903 /sec       
  default/hello-68ff47f84b-88vt9  10.32.0.141    default/loadgen-6c46fcc4bf-fnmlk  default/loadgen  p01: 81.5 µs, p10: 111 µs, p25: 135 µs, p50: 214 µs, p75: 363 µs, p90: 580 µs, p99: 1.4 ms  0.00 %      9.206452 /sec       
  default/hello-68ff47f84b-88vt9  10.32.0.144    default/loadgen-6c46fcc4bf-bfv9z  default/loadgen  p01: 77.8 µs, p10: 109 µs, p25: 137 µs, p50: 212 µs, p75: 364 µs, p90: 583 µs, p99: 1.4 ms  0.00 %      9.200000 /sec       
Table ID: resource_timeseries
  POD                               ACTUAL DISK READ THROUGHPUT  ACTUAL DISK WRITE THROUGHPUT  TOTAL DISK READ THROUGHPUT  TOTAL DISK WRITE THROUGHPUT  RSS      VSIZE    CPU USAGE  TIME                           
  default/loadgen-6c46fcc4bf-6n7ld  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  1.70 %     2023-02-26 19:42:00 +0000 UTC  
  default/loadgen-6c46fcc4bf-6n7ld  0 B/sec                      0 B/sec                       1.6 KiB/sec                 897 B/sec                    114 MiB  1.5 GiB  0.90 %     2023-02-26 19:40:30 +0000 UTC  
  default/loadgen-6c46fcc4bf-jsg2w  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  113 MiB  1.5 GiB  1.90 %     2023-02-26 19:44:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-fnmlk  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.80 %     2023-02-26 19:41:10 +0000 UTC  
  default/loadgen-6c46fcc4bf-bfv9z  0 B/sec                      0 B/sec                       3.2 KiB/sec                 1.7 KiB/sec                  114 MiB  1.5 GiB  2.10 %     2023-02-26 19:43:00 +0000 UTC  
  default/loadgen-6c46fcc4bf-pw56s  0 B/sec                      0 B/sec                       1.2 KiB/sec                 667 B/sec                    114 MiB  1.5 GiB  0.80 %     2023-02-26 19:40:30 +0000 UTC  
  default/loadgen-6c46fcc4bf-627td  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.10 %     2023-02-26 19:43:20 +0000 UTC  
  default/loadgen-6c46fcc4bf-627td  0 B/sec                      0 B/sec                       3.7 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.10 %     2023-02-26 19:44:30 +0000 UTC  
  default/loadgen-6c46fcc4bf-bfv9z  0 B/sec                      0 B/sec                       3.5 KiB/sec                 1.9 KiB/sec                  114 MiB  1.5 GiB  2.20 %     2023-02-26 19:41:20 +0000 UTC  
  default/loadgen-6c46fcc4bf-mqvzs  0 B/sec                      0 B/sec                       1.6 KiB/sec                 897 B/sec                    113 MiB  1.5 GiB  0.80 %     2023-02-26 19:45:30 +0000 UTC  
  default/loadgen-6c46fcc4bf-fnmlk  0 B/sec                      0 B/sec                       3.6 KiB/sec                 1.9 KiB/sec                  114 MiB  1.5 GiB  2.40 %     2023-02-26 19:41:40 +0000 UTC  
  default/loadgen-6c46fcc4bf-rhncg  0 B/sec                      0 B/sec                       3.6 KiB/sec                 1.9 KiB/sec                  114 MiB  1.5 GiB  2.30 %     2023-02-26 19:45:10 +0000 UTC  
  default/loadgen-6c46fcc4bf-pw56s  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.30 %     2023-02-26 19:43:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-jsg2w  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  113 MiB  1.5 GiB  2.00 %     2023-02-26 19:45:00 +0000 UTC  
  default/loadgen-6c46fcc4bf-bfv9z  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.30 %     2023-02-26 19:44:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-627td  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.00 %     2023-02-26 19:40:40 +0000 UTC  
  default/loadgen-6c46fcc4bf-jsg2w  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  113 MiB  1.5 GiB  2.00 %     2023-02-26 19:41:30 +0000 UTC  
  default/loadgen-6c46fcc4bf-pw56s  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.30 %     2023-02-26 19:45:20 +0000 UTC  
  default/hello-68ff47f84b-88vt9    0 B/sec                      0 B/sec                       13.4 KiB/sec                20.0 KiB/sec                 7.8 MiB  699 MiB  4.60 %     2023-02-26 19:40:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-jsg2w  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  113 MiB  1.5 GiB  2.00 %     2023-02-26 19:41:20 +0000 UTC  
  default/loadgen-6c46fcc4bf-rhncg  0 B/sec                      0 B/sec                       3.6 KiB/sec                 1.9 KiB/sec                  114 MiB  1.5 GiB  2.30 %     2023-02-26 19:40:40 +0000 UTC  
  default/hello-68ff47f84b-88vt9    0 B/sec                      0 B/sec                       13.4 KiB/sec                19.9 KiB/sec                 8.9 MiB  699 MiB  4.30 %     2023-02-26 19:43:00 +0000 UTC  
  default/loadgen-6c46fcc4bf-bfv9z  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.20 %     2023-02-26 19:42:10 +0000 UTC  
  default/hello-68ff47f84b-88vt9    0 B/sec                      0 B/sec                       13.5 KiB/sec                20.1 KiB/sec                 9.0 MiB  699 MiB  4.70 %     2023-02-26 19:44:40 +0000 UTC  
  default/loadgen-6c46fcc4bf-7t4zc  0 B/sec                      0 B/sec                       3.6 KiB/sec                 1.9 KiB/sec                  113 MiB  1.5 GiB  2.40 %     2023-02-26 19:43:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-bfv9z  0 B/sec                      0 B/sec                       3.6 KiB/sec                 1.9 KiB/sec                  114 MiB  1.5 GiB  2.40 %     2023-02-26 19:40:40 +0000 UTC  
  default/loadgen-6c46fcc4bf-jsg2w  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  113 MiB  1.5 GiB  1.80 %     2023-02-26 19:41:40 +0000 UTC  
  default/loadgen-6c46fcc4bf-rhncg  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.60 %     2023-02-26 19:40:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-bfv9z  0 B/sec                      0 B/sec                       3.5 KiB/sec                 1.9 KiB/sec                  114 MiB  1.5 GiB  2.20 %     2023-02-26 19:43:20 +0000 UTC  
  default/loadgen-6c46fcc4bf-7t4zc  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  113 MiB  1.5 GiB  2.00 %     2023-02-26 19:41:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-7t4zc  0 B/sec                      0 B/sec                       3.6 KiB/sec                 1.9 KiB/sec                  113 MiB  1.5 GiB  2.50 %     2023-02-26 19:40:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-7t4zc  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  113 MiB  1.5 GiB  2.40 %     2023-02-26 19:41:00 +0000 UTC  
  default/loadgen-6c46fcc4bf-jsg2w  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  113 MiB  1.5 GiB  1.60 %     2023-02-26 19:43:40 +0000 UTC  
  default/loadgen-6c46fcc4bf-6n7ld  0 B/sec                      0 B/sec                       3.7 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  1.90 %     2023-02-26 19:42:50 +0000 UTC  
  default/loadgen-6c46fcc4bf-mqvzs  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  1.80 %     2023-02-26 19:43:10 +0000 UTC  
  default/loadgen-6c46fcc4bf-fnmlk  0 B/sec                      0 B/sec                       3.6 KiB/sec                 1.9 KiB/sec                  114 MiB  1.5 GiB  2.50 %     2023-02-26 19:40:40 +0000 UTC  
  default/hello-68ff47f84b-88vt9    0 B/sec                      0 B/sec                       13.5 KiB/sec                20.2 KiB/sec                 9.1 MiB  699 MiB  4.50 %     2023-02-26 19:42:00 +0000 UTC  
  default/loadgen-6c46fcc4bf-bfv9z  0 B/sec                      0 B/sec                       3.6 KiB/sec                 2.0 KiB/sec                  114 MiB  1.5 GiB  2.20 %     2023-02-26 19:41:30 +0000 UTC  
Table ID: inbound_let_timeseries
  TIME                           POD                             LATENCY P50  LATENCY P90  LATENCY P99  REQUEST THROUGHPUT  ERROR RATE  BYTES PER NS  
  2023-02-26 19:42:00 +0000 UTC  default/hello-68ff47f84b-88vt9  252 µs       742 µs       2.0 ms       96.100000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:45:00 +0000 UTC  default/hello-68ff47f84b-88vt9  238 µs       678 µs       2.9 ms       95.700000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:41:30 +0000 UTC  default/hello-68ff47f84b-88vt9  249 µs       712 µs       1.5 ms       96.600000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:44:10 +0000 UTC  default/hello-68ff47f84b-88vt9  234 µs       683 µs       1.5 ms       96.000000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:41:50 +0000 UTC  default/hello-68ff47f84b-88vt9  237 µs       737 µs       1.6 ms       95.800000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:43:40 +0000 UTC  default/hello-68ff47f84b-88vt9  267 µs       747 µs       1.7 ms       95.900000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:41:20 +0000 UTC  default/hello-68ff47f84b-88vt9  244 µs       719 µs       1.7 ms       94.900000 /sec      0.00 %      5.7 KiB/sec   
  2023-02-26 19:42:20 +0000 UTC  default/hello-68ff47f84b-88vt9  250 µs       714 µs       1.2 ms       95.900000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:44:00 +0000 UTC  default/hello-68ff47f84b-88vt9  261 µs       726 µs       1.5 ms       95.500000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:41:00 +0000 UTC  default/hello-68ff47f84b-88vt9  263 µs       742 µs       1.7 ms       95.600000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:41:10 +0000 UTC  default/hello-68ff47f84b-88vt9  233 µs       658 µs       1.2 ms       96.300000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:43:10 +0000 UTC  default/hello-68ff47f84b-88vt9  267 µs       747 µs       1.7 ms       96.100000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:43:50 +0000 UTC  default/hello-68ff47f84b-88vt9  248 µs       671 µs       1.3 ms       96.100000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:44:20 +0000 UTC  default/hello-68ff47f84b-88vt9  252 µs       700 µs       1.4 ms       96.000000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:43:30 +0000 UTC  default/hello-68ff47f84b-88vt9  248 µs       705 µs       1.4 ms       96.000000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:45:30 +0000 UTC  default/hello-68ff47f84b-88vt9  264 µs       797 µs       2.8 ms       42.600000 /sec      0.00 %      2.6 KiB/sec   
  2023-02-26 19:40:30 +0000 UTC  default/hello-68ff47f84b-88vt9  234 µs       671 µs       8.3 ms       45.400000 /sec      0.00 %      2.7 KiB/sec   
  2023-02-26 19:44:50 +0000 UTC  default/hello-68ff47f84b-88vt9  238 µs       709 µs       1.8 ms       96.000000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:42:40 +0000 UTC  default/hello-68ff47f84b-88vt9  229 µs       656 µs       1.1 ms       96.300000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:40:40 +0000 UTC  default/hello-68ff47f84b-88vt9  270 µs       780 µs       3.7 ms       95.300000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:43:00 +0000 UTC  default/hello-68ff47f84b-88vt9  253 µs       733 µs       1.4 ms       95.600000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:44:30 +0000 UTC  default/hello-68ff47f84b-88vt9  241 µs       682 µs       1.5 ms       96.200000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:44:40 +0000 UTC  default/hello-68ff47f84b-88vt9  244 µs       665 µs       1.5 ms       95.800000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:42:10 +0000 UTC  default/hello-68ff47f84b-88vt9  259 µs       684 µs       1.3 ms       96.000000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:41:40 +0000 UTC  default/hello-68ff47f84b-88vt9  234 µs       728 µs       2.4 ms       95.400000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:45:20 +0000 UTC  default/hello-68ff47f84b-88vt9  226 µs       665 µs       1.3 ms       96.100000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:40:50 +0000 UTC  default/hello-68ff47f84b-88vt9  244 µs       690 µs       1.2 ms       95.400000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:45:10 +0000 UTC  default/hello-68ff47f84b-88vt9  256 µs       710 µs       1.5 ms       95.900000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:43:20 +0000 UTC  default/hello-68ff47f84b-88vt9  230 µs       582 µs       1.4 ms       95.700000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:42:50 +0000 UTC  default/hello-68ff47f84b-88vt9  246 µs       715 µs       1.7 ms       95.800000 /sec      0.00 %      5.8 KiB/sec   
  2023-02-26 19:42:30 +0000 UTC  default/hello-68ff47f84b-88vt9  243 µs       676 µs       1.3 ms       96.200000 /sec      0.00 %      5.8 KiB/sec   
